threshold,accuracy,precision,recall,f1,false_positive_rate,attack_detection_rate,true_negatives,false_positives,false_negatives,true_positives,syn_detection_rate,syn_detected,udp_detection_rate,udp_detected,port_scan_detection_rate,port_scan_detected,roc_auc,pr_auc
0.05,0.5187375,0.9853266513160865,0.36373333333333335,0.5313272224859706,0.01625,0.36373333333333335,19675,325,38176,21824,0.583,11660,0.20375,4075,0.30445,6089,0.9470059004166668,0.9758582541923586
0.1,0.4724,0.9861733522789375,0.30075,0.4609313136989451,0.01265,0.30075,19747,253,41955,18045,0.5227,10454,0.1618,3236,0.21775,4355,0.9470059004166668,0.9758582541923586
0.15,0.4460125,0.9869573318427427,0.26485,0.4176292032956203,0.0105,0.26485,19790,210,44109,15891,0.48625,9725,0.1386,2772,0.1697,3394,0.9470059004166668,0.9758582541923586
0.2,0.42775,0.9874537227478404,0.24005,0.3862118896307618,0.00915,0.24005,19817,183,45597,14403,0.4571,9142,0.1229,2458,0.14015,2803,0.9470059004166668,0.9758582541923586
0.25,0.4137375,0.9877131580906993,0.22106666666666666,0.3612741559874164,0.00825,0.22106666666666666,19835,165,46736,13264,0.43345,8669,0.11125,2225,0.1185,2370,0.9470059004166668,0.9758582541923586
0.3,0.402025,0.9880417335473515,0.20518333333333333,0.33980126966602264,0.00745,0.20518333333333333,19851,149,47689,12311,0.4112,8224,0.10225,2045,0.1021,2042,0.9470059004166668,0.9758582541923586
0.35,0.3919,0.9883840991223541,0.19145,0.320767361983748,0.00675,0.19145,19865,135,48513,11487,0.39205,7841,0.09475,1895,0.08755,1751,0.9470059004166668,0.9758582541923586
0.4,0.3831625,0.9887145609688962,0.1796,0.3039817204756061,0.00615,0.1796,19877,123,49224,10776,0.3756,7512,0.0872,1744,0.076,1520,0.9470059004166668,0.9758582541923586
0.45,0.3747375,0.9893105815435913,0.16813333333333333,0.2874196903001553,0.00545,0.16813333333333333,19891,109,49912,10088,0.3571,7142,0.08055,1611,0.06675,1335,0.9470059004166668,0.9758582541923586
0.5,0.3669,0.9894285116181704,0.15755,0.2718175805848693,0.00505,0.15755,19899,101,50547,9453,0.34085,6817,0.07425,1485,0.05755,1151,0.9470059004166668,0.9758582541923586
0.55,0.359375,0.9897022610252966,0.14736666666666667,0.2565352366031276,0.0046,0.14736666666666667,19908,92,51158,8842,0.325,6500,0.0682,1364,0.0489,978,0.9470059004166668,0.9758582541923586
0.6,0.35205,0.9899183869419107,0.13746666666666665,0.24140958847977523,0.0042,0.13746666666666665,19916,84,51752,8248,0.30795,6159,0.06245,1249,0.042,840,0.9470059004166668,0.9758582541923586
0.65,0.3452,0.9899639732372619,0.12823333333333334,0.22705542111786578,0.0039,0.12823333333333334,19922,78,52306,7694,0.2918,5836,0.0574,1148,0.0355,710,0.9470059004166668,0.9758582541923586
0.7,0.3382625,0.9915077265766393,0.1187,0.21201792120030366,0.00305,0.1187,19939,61,52878,7122,0.27445,5489,0.05225,1045,0.0294,588,0.9470059004166668,0.9758582541923586
0.75,0.33115,0.992116434202547,0.10906666666666667,0.19652832001922038,0.0026,0.10906666666666667,19948,52,53456,6544,0.25515,5103,0.04785,957,0.0242,484,0.9470059004166668,0.9758582541923586
0.8,0.323625,0.9921457219251337,0.09895,0.1799527158098933,0.00235,0.09895,19953,47,54063,5937,0.2358,4716,0.04235,847,0.0187,374,0.9470059004166668,0.9758582541923586
0.85,0.3151125,0.9924371336736623,0.08748333333333333,0.16079278285775553,0.002,0.08748333333333333,19960,40,54751,5249,0.2112,4224,0.0368,736,0.01445,289,0.9470059004166668,0.9758582541923586
0.9,0.305025,0.9928347514554411,0.0739,0.13756088480749543,0.0016,0.0739,19968,32,55566,4434,0.1826,3652,0.0298,596,0.0093,186,0.9470059004166668,0.9758582541923586
